h3_8,año_hecho,umap_1,umap_2
8849958405fffff,2019,4.0148997,7.2542725
8849958405fffff,2020,3.1226692,6.888229
8849958405fffff,2021,5.2398677,5.302532
8849958405fffff,2022,2.2897353,5.084474
8849958405fffff,2023,2.7615561,5.3350797
8849958405fffff,2024,4.6505017,7.79144
8849958407fffff,2016,6.3773866,6.8636436
8849958407fffff,2017,5.629288,8.119986
8849958407fffff,2018,5.0355654,4.153029
8849958407fffff,2019,5.341831,4.8448043
8849958407fffff,2020,6.129886,6.8589325
8849958407fffff,2021,7.013459,4.832899
8849958407fffff,2022,5.9124975,5.4688063
8849958407fffff,2023,3.4246185,8.42658
8849958407fffff,2024,3.5948942,7.983615
8849958409fffff,2016,6.6453133,8.798447
8849958409fffff,2017,5.8850555,8.14198
8849958409fffff,2018,4.6327305,4.982211
8849958409fffff,2019,6.195574,7.361976
8849958409fffff,2020,6.2502427,9.197897
8849958409fffff,2021,5.3748937,7.383373
8849958409fffff,2022,5.8203316,5.8358517
8849958409fffff,2023,5.9551015,4.9277887
8849958409fffff,2024,5.72929,9.59956
884995840bfffff,2016,5.4166346,8.145448
884995840bfffff,2017,5.370364,9.424713
884995840bfffff,2018,4.6604176,4.884397
884995840bfffff,2019,3.4202971,8.304391
884995840bfffff,2020,5.862205,5.5638094
884995840bfffff,2021,3.5816948,7.3642044
884995840bfffff,2022,7.2398376,6.6826725
884995840bfffff,2023,5.483264,7.087112
884995840bfffff,2024,3.5409954,7.352256
884995840dfffff,2016,5.3877087,8.313853
884995840dfffff,2017,5.9048934,7.6880093
884995840dfffff,2018,5.89407,8.828061
884995840dfffff,2019,6.2643156,6.0123134
884995840dfffff,2020,6.0798707,5.9253283
884995840dfffff,2022,3.3251143,8.101333
884995840dfffff,2023,4.8313365,5.9581027
8849958411fffff,2016,4.9438725,9.609738
8849958411fffff,2017,4.8731155,9.001384
8849958411fffff,2018,4.992296,4.334507
8849958411fffff,2019,5.6969543,5.0045743
8849958411fffff,2020,5.0320067,7.9954376
8849958411fffff,2021,5.057983,5.6524343
8849958411fffff,2022,2.2159998,5.3083324
8849958411fffff,2023,5.781413,4.7296557
8849958411fffff,2024,3.720905,7.9655476
8849958415fffff,2016,5.062807,9.162743
8849958415fffff,2017,4.798805,9.260715
8849958415fffff,2018,5.5030317,9.189918
8849958415fffff,2019,6.5066366,7.145617
8849958415fffff,2020,5.7898135,9.004286
8849958415fffff,2021,5.3347287,8.322305
8849958415fffff,2022,2.799442,5.284953
8849958415fffff,2023,6.633699,7.563454
8849958415fffff,2024,4.7440257,9.185991
8849958419fffff,2016,2.7964132,6.239487
8849958419fffff,2017,6.1585393,5.957418
8849958419fffff,2018,5.000056,9.518599
8849958419fffff,2019,5.800901,9.343317
8849958419fffff,2020,4.7692337,9.0363865
8849958419fffff,2021,3.7183177,6.702364
8849958419fffff,2022,4.416907,9.171794
8849958419fffff,2023,2.2026658,5.272684
8849958419fffff,2024,6.8397794,9.011
884995841bfffff,2016,5.7787642,5.6361804
884995841bfffff,2017,5.8933735,9.384685
884995841bfffff,2018,5.812172,5.3940954
884995841bfffff,2019,6.601661,4.3743744
884995841bfffff,2020,7.1998196,8.329537
884995841bfffff,2021,3.801734,8.048334
884995841bfffff,2022,2.0635574,5.111191
884995841bfffff,2023,4.9364953,9.675898
884995841bfffff,2024,2.409926,5.6217003
884995841dfffff,2016,4.7805996,8.429464
884995841dfffff,2017,5.8005633,8.416498
884995841dfffff,2018,5.0035458,4.8175244
884995841dfffff,2019,7.403033,5.899651
884995841dfffff,2020,4.777754,6.551275
884995841dfffff,2021,5.9319715,6.7658725
884995841dfffff,2022,6.8362226,6.0660644
884995841dfffff,2023,6.996211,6.3234015
884995841dfffff,2024,6.2507424,6.977137
8849958421fffff,2016,5.159491,6.9751616
8849958421fffff,2017,4.733167,7.1209445
8849958421fffff,2018,3.8717618,5.2911143
8849958421fffff,2019,4.49777,8.2825775
8849958421fffff,2020,4.7039237,9.142895
8849958421fffff,2021,4.9602914,7.840431
8849958421fffff,2022,5.577836,7.966107
8849958421fffff,2023,5.397159,5.1001544
8849958421fffff,2024,4.9109697,8.434537
8849958423fffff,2016,6.6114116,7.36784
8849958423fffff,2017,3.8338277,7.705104
8849958423fffff,2018,4.7708535,4.6737227
8849958423fffff,2019,2.9986525,6.862878
8849958423fffff,2020,4.8256955,8.184113
8849958423fffff,2021,4.80485,5.912829
8849958423fffff,2022,6.721872,6.5573473
8849958423fffff,2023,2.8993833,7.037432
8849958423fffff,2024,5.779918,6.530365
8849958425fffff,2016,5.2716236,8.447622
8849958425fffff,2017,7.1611657,6.7678833
8849958425fffff,2018,4.9630103,4.514443
8849958425fffff,2019,5.9302597,9.509588
8849958425fffff,2020,5.9849825,7.5406384
8849958425fffff,2021,5.117161,6.8201103
8849958425fffff,2022,5.1281476,5.4141994
8849958425fffff,2023,6.2483506,8.720891
8849958425fffff,2024,4.0318394,8.952461
8849958427fffff,2016,3.9095187,8.612477
8849958427fffff,2017,3.8359394,6.526186
8849958427fffff,2018,6.6214533,4.2391024
8849958427fffff,2019,5.087107,8.44497
8849958427fffff,2020,4.7606263,7.9902654
8849958427fffff,2021,2.5640316,5.4227767
8849958427fffff,2022,5.9095182,4.5716815
8849958427fffff,2023,3.777992,5.7268643
8849958427fffff,2024,3.7164245,8.826946
8849958429fffff,2016,5.4656863,8.395727
8849958429fffff,2017,4.750324,8.0203
8849958429fffff,2018,4.049759,6.3954315
8849958429fffff,2019,5.4804316,9.1896515
8849958429fffff,2020,4.2134013,9.110711
8849958429fffff,2021,6.9976997,7.7175083
8849958429fffff,2022,3.0456831,6.661174
8849958429fffff,2024,3.4108756,8.108283
884995842bfffff,2016,4.5727496,6.6739163
884995842bfffff,2017,2.8724036,5.6155095
884995842bfffff,2018,5.308811,4.177396
884995842bfffff,2019,4.908033,5.125864
884995842bfffff,2020,4.801115,7.3416963
884995842bfffff,2021,4.874494,5.2831116
884995842bfffff,2022,4.447891,4.3552494
884995842bfffff,2023,4.6056585,4.185527
884995842bfffff,2024,5.1293077,3.4557042
884995842dfffff,2016,5.1224914,8.87063
884995842dfffff,2017,6.356123,9.044214
884995842dfffff,2018,4.9248343,7.965187
884995842dfffff,2019,6.7633495,7.8767276
884995842dfffff,2020,5.0043306,8.755393
884995842dfffff,2021,5.587052,8.056078
884995842dfffff,2022,5.0099688,4.2440605
884995842dfffff,2023,4.7135463,8.03224
884995842dfffff,2024,4.2859077,8.9857025
8849958431fffff,2016,5.1750865,8.0040455
8849958431fffff,2017,4.032107,7.862167
8849958431fffff,2018,5.757178,5.6293955
8849958431fffff,2019,4.7589636,8.159104
8849958431fffff,2020,4.826426,8.627951
8849958431fffff,2021,4.7559223,6.008071
8849958431fffff,2022,4.9447184,4.9888926
8849958431fffff,2023,5.83758,6.427855
8849958431fffff,2024,5.311598,6.278268
8849958433fffff,2016,5.762241,7.0384803
8849958433fffff,2017,7.879658,7.109181
8849958433fffff,2018,5.1927667,4.238286
8849958433fffff,2019,7.7169847,6.171232
8849958433fffff,2020,7.371847,5.6136627
8849958433fffff,2021,6.4004083,4.839104
8849958433fffff,2022,5.0634804,4.3607616
8849958433fffff,2023,4.8825235,6.5756826
8849958433fffff,2024,6.544104,6.3751464
8849958435fffff,2016,5.7845535,7.7530727
8849958435fffff,2017,5.6805706,8.31855
8849958435fffff,2018,4.9470105,5.3856616
8849958435fffff,2019,4.9379797,7.365029
8849958435fffff,2020,7.6560774,5.92566
8849958435fffff,2021,5.675678,6.597709
8849958435fffff,2022,5.2180257,5.7317467
8849958435fffff,2023,5.533759,6.563074
8849958435fffff,2024,5.077906,7.9912696
8849958437fffff,2016,3.2787097,6.1919613
8849958437fffff,2017,3.7947905,6.7233543
8849958437fffff,2018,5.3564973,3.8248553
8849958437fffff,2019,6.952197,7.905282
8849958437fffff,2020,5.8352165,4.0110636
8849958437fffff,2021,5.3440895,5.3069153
8849958437fffff,2022,3.5955007,5.514642
8849958437fffff,2023,3.257224,6.7034783
8849958437fffff,2024,3.2362528,7.1516232
8849958439fffff,2016,5.1556783,7.0383525
8849958439fffff,2017,4.9170847,9.512307
8849958439fffff,2018,5.485547,4.9082007
8849958439fffff,2019,5.4398255,7.883908
8849958439fffff,2020,5.7142963,8.479351
8849958439fffff,2021,6.6150184,6.729537
8849958439fffff,2022,6.716239,6.609374
8849958439fffff,2023,3.8879287,9.004035
8849958439fffff,2024,4.244715,8.488159
884995843bfffff,2016,7.482222,6.966993
884995843bfffff,2017,4.277007,8.972355
884995843bfffff,2018,7.6409636,6.2072587
884995843bfffff,2019,5.7974844,8.570808
884995843bfffff,2020,3.9560382,8.614827
884995843bfffff,2021,4.937219,4.3348484
884995843bfffff,2022,6.5420637,5.973594
884995843bfffff,2023,6.396418,7.6261916
884995843bfffff,2024,4.492525,8.922084
884995843dfffff,2016,6.915462,8.15223
884995843dfffff,2017,4.542086,8.823912
884995843dfffff,2018,4.8697386,4.2555037
884995843dfffff,2019,5.352466,8.0976715
884995843dfffff,2020,5.8548207,7.5117154
884995843dfffff,2021,5.1902905,7.8134913
884995843dfffff,2022,6.140211,7.426952
884995843dfffff,2023,6.013359,6.173303
884995843dfffff,2024,5.712784,6.534593
8849958441fffff,2016,5.612591,8.023358
8849958441fffff,2017,7.0188227,8.461709
8849958441fffff,2018,6.07236,7.7107415
8849958441fffff,2019,4.5695825,8.539539
8849958441fffff,2020,4.80382,9.580209
8849958441fffff,2021,5.693934,6.93129
8849958441fffff,2022,6.725743,6.2647095
8849958441fffff,2023,5.629038,6.902101
8849958441fffff,2024,3.8291957,8.353053
8849958443fffff,2016,5.185462,8.068019
8849958443fffff,2017,6.2745314,7.9037724
8849958443fffff,2018,6.5297027,7.531487
8849958443fffff,2019,5.8926935,8.22684
8849958443fffff,2020,6.188676,7.7456503
8849958443fffff,2021,5.3936687,6.9812617
8849958443fffff,2022,5.4592075,3.3655324
8849958443fffff,2023,6.338668,5.657742
8849958443fffff,2024,5.2380877,5.10442
8849958445fffff,2016,6.9445095,8.710883
8849958445fffff,2017,4.231032,9.217302
8849958445fffff,2018,6.2326703,8.78568
8849958445fffff,2019,6.493406,7.8412642
8849958445fffff,2020,5.983741,8.228935
8849958445fffff,2021,5.7518134,6.0675592
8849958445fffff,2022,6.7069836,5.8355427
8849958445fffff,2023,6.088037,5.5484314
8849958445fffff,2024,6.8805594,7.9838467
8849958447fffff,2016,5.121995,8.226695
8849958447fffff,2017,4.826399,8.562946
8849958447fffff,2018,4.909387,5.0758786
8849958447fffff,2019,5.0128207,7.907678
8849958447fffff,2020,4.156022,8.553555
8849958447fffff,2021,6.4725437,5.558774
8849958447fffff,2022,5.4302263,4.8463964
8849958447fffff,2023,3.5096493,4.77572
8849958447fffff,2024,7.3278193,6.5132513
8849958449fffff,2016,7.4475017,7.1126556
8849958449fffff,2017,4.069028,8.762498
8849958449fffff,2018,4.991165,8.522799
8849958449fffff,2019,5.8402157,8.193525
8849958449fffff,2020,5.721429,8.5358925
8849958449fffff,2021,7.6190057,7.8870163
8849958449fffff,2022,6.76836,6.624105
8849958449fffff,2023,6.295853,6.3733635
8849958449fffff,2024,5.347237,8.60289
884995844bfffff,2016,5.063519,8.78504
884995844bfffff,2017,6.1432657,8.313433
884995844bfffff,2018,6.211281,8.117584
884995844bfffff,2019,4.0059166,8.935693
884995844bfffff,2020,4.084836,8.676901
884995844bfffff,2021,5.0047693,6.8617253
884995844bfffff,2022,3.777729,7.1717024
884995844bfffff,2023,5.766854,5.7433224
884995844bfffff,2024,5.2947903,6.931435
8849958451fffff,2016,4.3507013,7.23289
8849958451fffff,2017,3.7949228,8.063773
8849958451fffff,2018,4.0703464,6.641158
8849958451fffff,2019,7.891078,6.247921
8849958451fffff,2020,6.4674172,6.796678
8849958451fffff,2021,6.72644,7.4647317
8849958451fffff,2022,5.848567,5.0831237
8849958451fffff,2023,5.620305,6.3083677
8849958455fffff,2016,2.8225963,7.191254
8849958455fffff,2017,5.7050366,8.407998
8849958455fffff,2018,5.3781295,4.1500974
8849958455fffff,2019,4.5665874,6.5978627
8849958455fffff,2020,3.9948897,6.5214605
8849958455fffff,2021,4.539633,5.1778755
8849958455fffff,2022,6.8745265,8.76255
8849958455fffff,2023,4.206251,5.9452486
8849958455fffff,2024,3.2166376,7.623346
8849958457fffff,2016,6.450666,7.1647577
8849958457fffff,2017,5.242413,7.995045
8849958457fffff,2018,5.0286674,4.379861
8849958457fffff,2019,3.4975948,8.134796
8849958457fffff,2020,3.3452835,6.8415847
8849958457fffff,2021,5.202644,7.3201895
8849958457fffff,2022,5.0238276,7.1836023
8849958457fffff,2023,6.6065545,6.7842627
8849958457fffff,2024,4.461729,7.650915
8849958459fffff,2018,4.8658876,7.851916
8849958459fffff,2019,8.0455675,6.68776
8849958459fffff,2020,7.1763015,6.911932
8849958459fffff,2022,5.467548,4.7644076
8849958459fffff,2023,6.9307947,6.8141418
8849958459fffff,2024,7.4728756,6.785504
884995845bfffff,2016,4.854012,9.264091
884995845bfffff,2017,4.1239476,8.354876
884995845bfffff,2018,5.052277,7.720585
884995845bfffff,2019,7.8375854,7.309802
884995845bfffff,2020,7.815886,7.377492
