h3_8,max_cp_prob,bocpd_cp_year,p_2016,p_2017,p_2018,p_2019,p_2020,p_2021,p_2022,p_2023,p_2024,has_bocpd_cp
88499584b5fffff,0.15000000000000013,2022,0.15,0.15,0.15,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000013,0.15000000000000008,0.14999999999999997,False
88499584b7fffff,0.15000000000000008,2023,0.15,0.15000000000000002,0.15,0.15,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000008,0.15,False
88499584b9fffff,0.15000000000000008,2020,0.15,0.15,0.15,0.15,0.15000000000000008,0.15,0.15,0.15,0.15,False
88499584bbfffff,0.15000000000000008,2018,0.15,0.14999999999999997,0.15000000000000008,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000008,0.15,0.15000000000000002,False
88499584bdfffff,0.15000000000000002,2020,0.15,0.15,0.15,0.15,0.15000000000000002,0.15,0.15,0.15000000000000002,0.15,False
88499584c3fffff,0.15000000000000008,2018,0.15,0.15000000000000002,0.15000000000000008,0.15000000000000002,0.15000000000000008,0.15,0.15000000000000008,0.15000000000000008,0.15000000000000008,False
88499584d1fffff,0.15000000000000008,2019,,,0.15,0.15000000000000008,0.15000000000000008,,,,,False
88499584d3fffff,0.15,2016,0.15,0.14999999999999997,,0.15,0.15,0.15,,0.15,0.15,False
88499584d5fffff,0.15000000000000008,2018,0.14999999999999997,,0.15000000000000008,0.15,0.15000000000000002,0.15000000000000008,0.15,0.15000000000000008,0.15000000000000002,False
88499584d7fffff,0.15000000000000002,2022,0.15,0.15,0.15,0.15,0.15,0.15,0.15000000000000002,0.15,0.15000000000000002,False
88499584d9fffff,0.15000000000000008,2017,0.15,0.15000000000000008,0.15000000000000008,0.15000000000000008,,,,,,False
88499584ddfffff,0.15000000000000002,2018,,,0.15000000000000002,0.15,0.15,,0.15,,,False
88499584e1fffff,0.15000000000000008,2023,0.14999999999999997,0.15,0.15,0.15,0.15,,,0.15000000000000008,0.15,False
88499584e3fffff,0.15000000000000008,2021,0.15,0.15,0.15,0.15,0.15,0.15000000000000008,0.15,0.15,0.15000000000000002,False
88499584e5fffff,0.15000000000000008,2024,0.15,0.15,0.15000000000000002,0.14999999999999997,0.15,0.15000000000000002,0.15,0.15000000000000002,0.15000000000000008,False
88499584e7fffff,0.15000000000000008,2023,0.15000000000000002,0.15000000000000002,0.15,0.15000000000000002,0.15000000000000002,0.15,0.15000000000000002,0.15000000000000008,0.15000000000000002,False
88499584e9fffff,0.15000000000000008,2019,0.14999999999999997,,0.15000000000000002,0.15000000000000008,,,,,,False
88499584ebfffff,0.15000000000000008,2019,0.15,,,0.15000000000000008,,,,0.15,,False
88499584edfffff,0.15000000000000008,2023,0.14999999999999997,0.15,0.15000000000000002,0.15,0.15,0.15,0.15,0.15000000000000008,0.15,False
8849958501fffff,0.15000000000000002,2023,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15000000000000002,0.15,False
8849958503fffff,0.15000000000000008,2020,,0.15,0.15,,0.15000000000000008,0.15,,0.15000000000000002,0.15000000000000008,False
884995850bfffff,0.15000000000000002,2016,0.15000000000000002,0.15,0.15,0.15,0.15,0.15000000000000002,0.15000000000000002,0.15,0.15,False
