h3_8,n_años,tipo,n_changepoints,changepoints
8849958c4bfffff,9,fragmentada,0,
8849958c51fffff,9,fragmentada,0,
8849958c53fffff,9,fragmentada,0,
8849958c55fffff,9,fragmentada,0,
8849958c57fffff,9,fluctuante,0,
8849958c59fffff,9,fragmentada,0,
8849958c5bfffff,9,fragmentada,0,
8849958c5dfffff,9,fragmentada,0,
8849958c61fffff,9,fragmentada,0,
8849958c63fffff,9,fluctuante,0,
8849958c69fffff,9,fragmentada,0,
8849958c6bfffff,9,fragmentada,0,
8849958c6dfffff,8,fragmentada,0,
8849958c91fffff,9,fragmentada,0,
8849958c93fffff,5,fragmentada,0,
8849958c97fffff,8,fragmentada,0,
8849958c99fffff,9,monotónica,0,
8849958c9bfffff,9,fragmentada,0,
8849958c9dfffff,8,fragmentada,0,
8849958cc1fffff,9,estable,0,
8849958cc3fffff,9,fluctuante,0,
8849958cc5fffff,9,fluctuante,0,
8849958cc7fffff,5,fluctuante,0,
8849958cc9fffff,9,fluctuante,0,
8849958ccbfffff,9,fluctuante,0,
8849958ccdfffff,9,fluctuante,0,
8849958cd1fffff,9,fragmentada,0,
8849958cd3fffff,9,fluctuante,0,
8849958cd5fffff,8,monotónica,0,
8849958cd7fffff,9,fragmentada,0,
8849958cd9fffff,9,fluctuante,0,
8849958cdbfffff,9,fragmentada,0,
8849958cddfffff,9,fluctuante,0,
8849958e01fffff,8,fragmentada,0,
8849958e03fffff,9,fragmentada,0,
8849958e05fffff,9,fragmentada,0,
8849958e09fffff,9,fragmentada,0,
8849958e0bfffff,9,fluctuante,0,
8849958e0dfffff,7,fluctuante,0,
8849958e13fffff,9,fluctuante,0,
8849958e15fffff,9,fluctuante,0,
8849958e17fffff,9,fluctuante,0,
8849958e19fffff,9,fragmentada,0,
8849958e1bfffff,9,fragmentada,0,
8849958e1dfffff,9,fragmentada,0,
8849958e31fffff,9,fragmentada,0,
8849958e33fffff,9,fragmentada,0,
8849958e35fffff,9,fragmentada,0,
8849958e37fffff,9,fragmentada,0,
8849958e3bfffff,9,fluctuante,0,
8849958e41fffff,6,fluctuante,0,
8849958e43fffff,9,fragmentada,0,
8849958e47fffff,9,fluctuante,0,
8849958e51fffff,9,fragmentada,0,
8849958e53fffff,9,fragmentada,0,
8849958e55fffff,9,fluctuante,0,
8849958e57fffff,9,fragmentada,0,
8849958e59fffff,9,fragmentada,0,
8849958e5bfffff,9,fragmentada,0,
8849958e5dfffff,9,fluctuante,0,
8849958e61fffff,9,fragmentada,0,
8849958e63fffff,9,fragmentada,0,
8849958e65fffff,9,fluctuante,0,
8849958e67fffff,6,monotónica,0,
8849958e6dfffff,9,fluctuante,0,
8849958e81fffff,9,fluctuante,0,
8849958e83fffff,8,fluctuante,0,
8849958e85fffff,9,fluctuante,0,
8849958e87fffff,9,fragmentada,0,
8849958e89fffff,9,fragmentada,0,
8849958e8bfffff,9,fluctuante,0,
8849958e8dfffff,9,fluctuante,0,
8849958e91fffff,9,fragmentada,0,
8849958e93fffff,9,monotónica,1,2020
8849958e95fffff,9,fluctuante,0,
8849958e97fffff,9,fluctuante,0,
8849958e99fffff,9,fragmentada,0,
8849958e9bfffff,9,fragmentada,0,
8849958e9dfffff,9,fragmentada,0,
8849958ea1fffff,9,fragmentada,0,
8849958ea3fffff,9,fragmentada,0,
8849958ea5fffff,9,fragmentada,0,
8849958ea7fffff,9,fragmentada,0,
8849958ea9fffff,9,fragmentada,0,
8849958eabfffff,9,fluctuante,0,
8849958eadfffff,7,fragmentada,0,
8849958eb1fffff,9,fragmentada,0,
8849958eb3fffff,9,fragmentada,0,
8849958eb5fffff,9,fluctuante,0,
8849958eb7fffff,9,fluctuante,0,
8849958eb9fffff,9,fragmentada,0,
8849958ebbfffff,9,fluctuante,0,
8849958ebdfffff,3,monotónica,0,
8849958ec1fffff,9,fragmentada,0,
8849958ec3fffff,9,fragmentada,0,
8849958ec5fffff,9,fragmentada,0,
8849958ec7fffff,9,fragmentada,0,
8849958ec9fffff,9,fluctuante,0,
8849958ecbfffff,9,fluctuante,0,
8849958ecdfffff,9,fragmentada,0,
8849958ed3fffff,9,fragmentada,0,
8849958ed5fffff,7,fragmentada,0,
8849958ed7fffff,9,fragmentada,0,
8849958ed9fffff,8,fragmentada,0,
8849958edbfffff,9,fluctuante,0,
8849958eddfffff,6,fragmentada,0,
8849958ee1fffff,9,fluctuante,0,
8849958ee3fffff,9,fragmentada,0,
8849958ee5fffff,9,fragmentada,0,
8849958ee7fffff,9,fragmentada,0,
8849958ee9fffff,9,fragmentada,0,
8849958eebfffff,9,fragmentada,0,
8849958eedfffff,9,fragmentada,0,
8849958f01fffff,4,fluctuante,0,
8849958f07fffff,7,fluctuante,0,
8849958f3bfffff,8,fragmentada,0,
8849958f59fffff,3,estable,0,
8849958f5bfffff,6,fluctuante,0,
88499595a3fffff,7,fluctuante,0,
88499595abfffff,4,monotónica,0,
88499595bdfffff,9,fluctuante,0,
884995a365fffff,8,fluctuante,0,
884995a36dfffff,9,fragmentada,0,
884995aa05fffff,9,fragmentada,0,
884995aa09fffff,6,fragmentada,0,
884995aa0dfffff,8,fluctuante,0,
884995aa29fffff,9,fragmentada,0,
884995aa2bfffff,6,fragmentada,0,
884995aa41fffff,9,fragmentada,0,
884995aa43fffff,4,fluctuante,0,
884995aa45fffff,9,fragmentada,0,
884995aa47fffff,9,fragmentada,0,
884995aa49fffff,5,fluctuante,0,
884995aa4dfffff,9,fragmentada,0,
884995aa61fffff,9,fluctuante,0,
884995aa63fffff,9,fluctuante,0,
884995aa67fffff,9,monotónica,0,
884995aa69fffff,9,fluctuante,0,
884995aa6bfffff,9,fragmentada,0,
884995aa6dfffff,8,fluctuante,0,
884995b045fffff,3,monotónica,0,
884995b04dfffff,9,fragmentada,0,
884995b061fffff,6,fragmentada,0,
884995b069fffff,9,fluctuante,0,
884995b109fffff,3,monotónica,0,
884995b10dfffff,5,fluctuante,0,
884995b125fffff,9,fluctuante,0,
884995b12dfffff,9,fragmentada,0,
884995b141fffff,8,fragmentada,0,
884995b143fffff,9,fluctuante,0,
884995b145fffff,9,fluctuante,0,
884995b147fffff,9,fragmentada,0,
884995b149fffff,9,fragmentada,0,
884995b14dfffff,9,fluctuante,0,
884995b15dfffff,8,fluctuante,0,
884995b161fffff,9,fluctuante,0,
884995b163fffff,9,fluctuante,0,
884995b165fffff,9,fluctuante,0,
884995b167fffff,9,fragmentada,0,
884995b169fffff,9,fragmentada,0,
884995b16bfffff,9,fragmentada,0,
884995b16dfffff,9,fragmentada,0,
884995b227fffff,4,monotónica,0,
884995b309fffff,9,fragmentada,0,
884995b30dfffff,3,fluctuante,0,
884995b313fffff,8,fluctuante,0,
884995b317fffff,5,fluctuante,0,
884995b31bfffff,6,fluctuante,0,
884995b323fffff,9,fragmentada,0,
884995b325fffff,5,fluctuante,0,
884995b327fffff,9,fluctuante,0,
884995b331fffff,4,monotónica,0,
884995b333fffff,4,fluctuante,0,
884995b335fffff,8,fluctuante,0,
884995b337fffff,7,fluctuante,0,
884995b33bfffff,8,fluctuante,0,
884995b33dfffff,5,fragmentada,0,
884995b341fffff,7,monotónica,0,
884995b345fffff,9,fragmentada,0,
884995b347fffff,9,fragmentada,0,
