h3_8,año_hecho,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16
8849958091fffff,2021,-0.034376856,0.75796884,-3.0012627,1.9028884,0.953967,-1.1956991,-1.6926086,2.8172104,0.68182194,-0.19191396,-0.47228616,-0.16576615,-1.2920356,-0.7065809,-0.8258137,1.7500485
8849958091fffff,2022,-1.7423412,-2.800063,-2.0884254,2.99786,1.777123,-0.9030448,-1.8088764,1.9412119,-1.9403247,1.6573006,0.61315364,-0.94360065,-1.0384392,-1.3136576,0.304376,1.2986618
8849958091fffff,2023,0.13242014,1.4777377,-2.3415515,3.2487104,-0.69178116,-0.54617494,0.059993286,1.4098115,-0.6441873,0.89654976,0.8457036,-1.6352377,-2.9582827,-1.3962681,-0.55813754,3.378263
8849958099fffff,2016,0.4669936,1.9407821,-2.3416016,3.682622,-1.2727331,-0.39921612,-1.1271237,1.164523,0.29977778,-0.1671881,-1.9648256,-0.8092087,-2.8879054,-1.9007221,-0.6898879,-0.85133606
8849958099fffff,2018,-1.2280415,-0.094362795,-1.5573934,1.9687846,-0.48365775,-1.6858418,-1.8928078,0.26229233,-0.5585662,0.28126132,-0.41648322,1.0962129,-0.839531,-0.4941378,-0.9770045,0.3854638
8849958099fffff,2019,-1.5234882,2.0275662,0.21149024,0.95079225,-1.002339,-0.42290014,-1.054602,-1.3305639,-1.1544964,0.75893193,0.9651994,-0.053565316,-0.2019969,-0.37211168,-0.741783,-0.6760522
8849958099fffff,2020,-0.4039742,0.93722296,-2.1318524,1.1633275,0.24925292,0.5227141,-0.1305465,0.9602671,0.644101,-0.14349192,0.2235971,-0.6525248,-2.3948417,-0.9513822,-0.42063674,0.42961302
884995809dfffff,2017,-0.51571107,-0.18466763,0.48959032,2.1187305,-0.22744635,0.06684569,1.280252,-0.17577899,0.094293274,0.9920485,-0.60780597,2.0700471,-1.7569519,0.93966806,-0.23763534,-0.8512191
884995809dfffff,2018,0.12402839,0.6989706,-0.86482185,1.6323313,-0.4037915,0.270414,-0.2470445,1.030557,0.16338147,0.17616141,-1.2722178,0.6896632,-0.17199084,-0.4389271,-0.6765384,-0.39090702
884995809dfffff,2019,-0.039407436,-1.249749,0.24864371,2.103913,-1.8508518,0.10725701,-0.6314138,0.2148837,0.064614326,0.6165491,0.535056,0.6045403,-0.52009124,-1.248193,-0.6558028,1.2833049
884995809dfffff,2020,1.5557412,1.9444662,-1.3028849,1.932647,-1.3538343,-0.22021703,0.020240577,0.8305965,-0.37210128,-0.027331129,-0.15305296,-0.12678829,-1.5807998,-0.85202414,-0.19681719,0.15943569
884995809dfffff,2021,-0.1520104,1.062866,-1.854298,0.4719467,-1.4896415,0.6569916,0.5274068,1.2226195,0.31356177,0.9249551,0.067881145,1.0030804,-0.5687109,0.7577947,0.95339525,1.5520322
884995809dfffff,2022,-1.1414713,0.16914624,-1.9048557,2.494828,-1.4051791,1.2065701,-0.33185872,-0.82469666,0.8593736,1.2692327,-1.311514,-0.3887345,-0.41563302,0.102146156,0.557774,3.2998152
884995809dfffff,2024,0.5462136,-0.14664878,-2.1044607,2.0744123,-1.47649,-1.0006928,-0.37950608,-0.33268964,-0.7711789,-0.58047456,-0.3567091,2.4659176,-1.937318,0.20193109,-0.73793894,-0.3831276
88499580a1fffff,2016,-1.0802631,-0.7016322,-1.7439328,1.7946172,0.55382764,0.036800936,-2.9492311,-1.1053716,0.94571656,0.19902182,-1.5645427,0.2868072,-1.3218747,1.2023629,1.6580728,-1.0246488
88499580a1fffff,2017,0.0708483,-0.81499046,-0.8391996,0.62868136,0.8957991,-0.99581355,-1.7573564,1.1347355,-0.76660585,1.2266413,-0.24094269,-0.053071033,-1.7855164,0.5801938,-0.79385775,0.7727101
88499580a1fffff,2018,0.5188301,-0.47023174,-0.8896779,0.8484276,0.017260274,-0.062606215,-0.91936904,0.6632059,-0.08574708,0.37267384,-0.7147093,0.9821572,-1.5506177,-0.15473962,-1.2327977,-0.30245718
88499580a1fffff,2019,-0.34109092,0.71909624,-0.77841526,1.9919008,0.9728244,0.32040986,-1.2818103,0.36235845,-0.38713083,1.219141,0.6078552,-0.9768415,-1.4447418,-1.1895729,-0.39418697,-0.5268588
88499580a1fffff,2020,-0.33334878,-0.24823874,-1.5714079,3.041863,-0.19210769,-0.6755189,-0.8034431,1.1038626,-0.95070004,0.8591691,-0.35436857,-0.10885154,-1.2208825,-0.42675343,1.0740625,-0.5827652
88499580a1fffff,2021,-0.8911297,0.8322487,-0.8763744,1.3623359,-0.21379276,0.35574725,-1.1275326,0.5961404,-0.06598682,2.0262973,-0.8773694,1.0378416,-0.056346882,0.6998822,-0.13159434,0.8150254
88499580a1fffff,2022,-1.0120771,-1.1424578,-0.06426949,1.1953975,1.2991089,-0.055965096,-0.8808569,0.49135047,-0.2817904,1.7147471,0.43471888,0.7727313,-2.0084693,-0.02639865,-1.6115545,0.3674449
88499580a5fffff,2018,0.8381284,0.015276268,-1.790694,-0.21780084,-1.2657589,0.13935745,-0.42993873,1.616113,-0.09687056,0.4206015,0.7134402,0.8305903,-2.2523358,-0.21787022,1.4525037,-1.1340036
88499580a5fffff,2019,0.32472184,-0.18782185,-1.5159243,1.7710345,-0.8911123,-0.5077161,-0.53623754,0.9940284,-0.25888434,-0.97603744,-1.169235,0.6542363,-0.9739163,-1.8271577,-1.3427258,-1.0017562
88499580a5fffff,2020,0.542677,1.9764417,2.2330372,4.9045315,-2.1796305,0.373723,1.55905,2.701418,-0.30064073,3.2668297,-1.5840473,-1.7649196,-0.9360326,1.3371354,3.3339226,0.09699545
88499580a5fffff,2021,0.24904317,-0.02497857,0.031138483,3.5264935,-0.51331913,0.39525694,-0.5950699,1.926761,0.30475,1.5038985,0.17052121,0.72944593,-0.5346779,-0.3566307,0.50473857,0.25700018
88499580a5fffff,2022,-0.9820052,0.72895426,-1.011297,1.5741647,-0.13902073,0.60863894,-0.6875077,0.22675924,0.4963029,0.9090212,0.22062545,-0.15706599,-1.1617479,-1.8933146,1.0367107,-2.159419
88499580abfffff,2016,-1.8466804,0.4940308,0.2032611,2.2910345,0.47920996,-1.148615,-0.72701114,0.21213682,-0.83173335,2.5826828,-1.2489691,-0.5831903,-1.66761,-0.29297125,0.060200825,-0.31388482
88499580abfffff,2017,-0.5296016,2.5597668,-0.9961949,2.462745,-0.343236,0.17100479,0.9543608,0.12639214,-0.24768913,0.6615738,0.589104,-0.08246953,-1.2738161,0.018557405,-0.41625553,0.9602089
88499580abfffff,2018,-0.9119874,1.9263101,-0.6082304,1.555709,-0.31809893,0.4750685,0.92377007,-0.5520129,1.2830423,1.4065133,-0.6999239,-0.9054595,-2.155795,-0.43022937,0.46621987,0.5253268
88499580abfffff,2019,-1.360928,-0.852098,-2.190602,1.2442219,0.3133958,-0.24972373,-1.116699,-0.45067546,-0.37536758,1.0099945,-0.8719709,-0.64283365,-1.9082261,-0.26236486,0.019734845,1.1134317
88499580abfffff,2022,-0.38123414,0.59850395,-0.6698418,4.518851,2.364737,-1.4077588,-2.4323473,-0.67362005,2.8354814,-0.27921087,2.6040878,-0.45548818,-0.3372081,-0.40787506,0.11449622,3.1595318
88499580abfffff,2023,0.34354356,0.34008294,-1.1404675,2.419907,-0.1421378,-0.33546796,-0.7546566,2.0399237,-0.93291175,0.3057935,-0.6043675,1.2677637,-1.3366216,-2.3852704,-2.8937428,-1.0897057
88499580abfffff,2024,-1.1083916,3.3091815,-0.71968615,2.6362846,-0.64437824,-0.31445068,0.40372443,-0.1992789,1.3366237,1.7517232,-0.14131272,-0.28895697,-1.7140456,-0.88316727,0.57075995,0.17637575
88499580b7fffff,2018,0.988325,1.0062367,-1.015283,2.1089149,0.6237454,1.1937981,-0.77327335,0.6523441,0.1775686,0.38525784,-0.7003861,0.3331282,-1.4113922,-0.9303,-1.5708567,-0.95891464
88499580b7fffff,2020,0.31756794,-2.54917,-1.812745,1.5008196,-0.79871166,0.20825453,-2.004955,0.47835302,-0.89927876,1.1562241,-0.6861704,1.401055,-1.8917707,0.21241383,-1.0594969,1.4325606
88499580b7fffff,2021,-1.6509411,-0.54710484,-1.2380778,-0.16513596,1.1769888,-1.1971812,-2.2315526,1.7020936,-0.38344967,2.7927444,0.88287276,-1.1322701,-3.9831157,-0.09901298,0.1344306,0.65978694
