h3_8,n_años,año_inicio,año_fin,tipo,n_cambios,n_clusters,cluster_inicio,cluster_fin,path_length_ae,net_disp_ae,drift_idx,max_step_ae,path_length_umap,net_disp_umap,is_atipica,secuencia,años
884995ba27fffff,9,2016,2024,fluctuante,4,3,4,4,9.941589657251328,1.7241316496745263,0.1734261530717028,1.9684274111548237,10.679989746155497,2.83463153450593,False,"4,4,1,1,1,4,0,0,4","2016,2017,2018,2019,2020,2021,2022,2023,2024"
884995ba29fffff,9,2016,2024,fragmentada,5,4,2,3,15.686525840796403,2.171345551345349,0.13842106106747154,2.8159132445718016,22.635023957193148,1.0488385409361158,False,"2,1,4,4,4,4,1,4,3","2016,2017,2018,2019,2020,2021,2022,2023,2024"
884995ba2bfffff,9,2016,2024,estable,0,1,4,4,19.661267606903735,2.1659620313813863,0.11016390574028116,4.335411616233061,11.597389235091118,0.2503577809520806,False,"4,4,4,4,4,4,4,4,4","2016,2017,2018,2019,2020,2021,2022,2023,2024"
884995ba2dfffff,9,2016,2024,fragmentada,5,4,2,0,20.65897757248522,2.337308396340231,0.11313766076464446,4.7457962525869934,12.474957859469407,4.549723779818803,False,"2,1,1,1,2,1,3,0,0","2016,2017,2018,2019,2020,2021,2022,2023,2024"
884995ba31fffff,9,2016,2024,fluctuante,3,3,1,0,10.85450109712157,3.2222661702443154,0.2968599055279294,1.885759763217397,22.937116233410514,5.129987505868801,False,"1,4,4,4,1,0,0,0,0","2016,2017,2018,2019,2020,2021,2022,2023,2024"
884995ba33fffff,9,2016,2024,fluctuante,5,3,1,2,22.80886052831747,4.51613392660123,0.19799910306761692,4.067705939861183,22.645556582777832,1.9146941117308944,False,"1,2,1,1,3,1,1,1,2","2016,2017,2018,2019,2020,2021,2022,2023,2024"
884995ba35fffff,9,2016,2024,fluctuante,3,3,4,0,15.180391899433552,4.116016832773706,0.27114035395405656,3.3142129384440606,19.62953911590519,6.160099250020158,False,"4,4,4,4,1,4,0,0,0","2016,2017,2018,2019,2020,2021,2022,2023,2024"
884995ba37fffff,9,2016,2024,fluctuante,3,3,1,0,16.492431150834054,3.486783527485794,0.2114171946874831,2.883717664229044,10.117488506731965,2.764560493367117,False,"1,3,3,1,0,0,0,0,0","2016,2017,2018,2019,2020,2021,2022,2023,2024"
884995ba39fffff,9,2016,2024,fragmentada,5,4,2,0,16.336788859244557,3.3396136954841875,0.20442289633892088,2.3686779237915974,18.350977240866246,5.820165848277728,False,"2,0,0,1,0,0,3,0,0","2016,2017,2018,2019,2020,2021,2022,2023,2024"
884995ba3bfffff,9,2016,2024,fragmentada,4,4,4,0,22.173787507227665,4.56833821575417,0.20602426239834287,4.153965492359862,17.952220175650872,4.81138993662416,False,"4,4,4,4,1,1,4,3,0","2016,2017,2018,2019,2020,2021,2022,2023,2024"
884995ba3dfffff,9,2016,2024,fragmentada,5,4,0,0,10.730533834723651,2.8423389382249695,0.26488327440217885,1.9884824635313676,12.77830053732242,4.5659796363084295,False,"0,1,3,4,1,1,0,0,0","2016,2017,2018,2019,2020,2021,2022,2023,2024"
884995ba41fffff,9,2016,2024,fragmentada,5,4,1,1,20.401128457319917,1.1880716351118241,0.058235584251985065,4.308650219820508,18.926709755570055,0.517671211659573,False,"1,2,4,4,4,3,3,4,1","2016,2017,2018,2019,2020,2021,2022,2023,2024"
884995ba43fffff,9,2016,2024,fragmentada,6,4,2,2,15.336366365688141,2.0525961679789377,0.13383849335858233,2.8584465556756884,21.486326826568956,0.6370509087967033,False,"2,1,3,2,0,0,0,1,2","2016,2017,2018,2019,2020,2021,2022,2023,2024"
884995ba45fffff,9,2016,2024,fragmentada,6,4,1,2,21.034804320790997,3.0473153698202635,0.1448701553552494,4.242849327633612,23.462008352181662,1.8690829777209608,False,"1,1,4,0,1,2,0,2,2","2016,2017,2018,2019,2020,2021,2022,2023,2024"
884995ba47fffff,9,2016,2024,fragmentada,7,4,2,2,18.76521013036605,3.3260417892612395,0.17724511295927378,3.492730173241081,12.554094181659272,1.4822135796601317,False,"2,4,3,1,2,1,4,2,2","2016,2017,2018,2019,2020,2021,2022,2023,2024"
884995ba49fffff,9,2016,2024,fragmentada,6,4,1,3,18.44346798723107,3.7305230084051457,0.20226797969817234,3.9375668167833435,14.91486980279773,1.9714357574153314,False,"1,1,1,3,1,0,1,2,3","2016,2017,2018,2019,2020,2021,2022,2023,2024"
884995ba4bfffff,9,2016,2024,fluctuante,3,3,2,4,19.78260743939135,3.6160228155663114,0.182787978108793,3.548314134131087,22.402868697952222,6.448822753861793,False,"2,4,4,4,4,0,0,4,4","2016,2017,2018,2019,2020,2021,2022,2023,2024"
