h3_8,año_hecho,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8
8849958195fffff,2024,1.2985263,-0.39118713,0.22974327,-0.5897824,0.5662113,-1.1544591,-1.0858462,0.1961615
8849958199fffff,2016,-0.28258383,1.0130262,-0.939241,-0.43619817,-0.37314907,0.23348509,-0.90073156,-0.20781586
8849958199fffff,2017,0.35771325,-0.9407443,-0.84730494,0.057416208,-0.8039051,0.97099423,0.44862485,-1.10705
8849958199fffff,2018,0.23315164,-0.67749065,-0.037345614,0.70764565,-0.32448244,0.23774174,-0.30766848,-0.27301466
8849958199fffff,2019,-0.550118,0.34558335,-0.7910911,-0.18150964,-0.96846294,-0.5579122,-1.3280363,-0.3074661
8849958199fffff,2020,-0.8502202,2.195013,0.018006124,1.6472195,-0.87013865,-0.27048242,-0.56915677,-0.97827715
8849958199fffff,2021,-0.7284334,0.029343443,-0.48383585,-0.49750653,-0.37742946,0.2425989,1.6685219,-0.73886275
8849958199fffff,2022,0.7906055,0.22388443,-0.33540595,0.4144406,0.21414462,-0.5866028,-1.2279384,1.374729
8849958199fffff,2023,-0.82737285,0.48782632,-1.1151385,-2.0459042,2.251195,1.3483937,1.3801467,-0.72738415
8849958199fffff,2024,0.29164472,1.7443304,-1.2255182,0.65366316,1.2649446,-0.21599624,-0.17333126,-1.6765467
884995819dfffff,2016,1.1654348,0.38162622,-0.09800588,-1.0801126,0.11947221,0.09317506,-0.9613382,-1.0433015
884995819dfffff,2017,0.98001987,-0.24034314,-0.11104246,0.67767155,-0.21970963,0.3187063,0.3033243,-1.0103965
884995819dfffff,2018,1.0526924,-0.9543962,-0.6018319,0.5264861,-0.10908146,0.40545318,-0.09184461,-1.3041326
884995819dfffff,2019,0.31203935,-0.03330458,-0.40917984,0.14395979,0.8902277,0.8045939,0.13435544,-1.1623713
884995819dfffff,2020,1.0274162,-0.08390624,0.68773335,-0.37396213,-0.12753294,0.81409425,-0.99168956,0.2533387
884995819dfffff,2021,0.16305725,-0.17149054,0.17635486,-0.41087726,0.5731781,-0.34885728,0.17980589,-0.12156228
884995819dfffff,2022,0.98629487,-0.15851742,-0.9317874,0.86214775,0.14840645,-0.601062,0.011470934,-0.57766503
