h3_8,año_hecho,cluster_km_ae,cluster_km_ae_cos,cluster_km_pca,cluster_km_raw,cluster_hdbscan
8849958431fffff,2022,3,0,0,0,48
8849958431fffff,2023,3,1,1,4,-1
8849958431fffff,2024,3,0,0,4,55
8849958433fffff,2016,1,0,0,0,52
8849958433fffff,2017,1,0,1,4,65
8849958433fffff,2018,3,0,0,0,21
8849958433fffff,2019,0,2,0,0,38
8849958433fffff,2020,1,0,0,0,44
8849958433fffff,2021,1,0,0,0,-1
8849958433fffff,2022,3,4,0,0,43
8849958433fffff,2023,3,1,1,4,-1
8849958433fffff,2024,3,0,1,4,20
8849958435fffff,2016,0,2,1,4,-1
8849958435fffff,2017,0,2,4,1,-1
8849958435fffff,2018,3,1,0,0,63
8849958435fffff,2019,1,2,4,1,62
8849958435fffff,2020,1,4,2,2,53
8849958435fffff,2021,3,0,0,0,55
8849958435fffff,2022,3,1,0,0,39
8849958435fffff,2023,3,1,0,4,55
8849958435fffff,2024,0,2,4,1,29
8849958437fffff,2016,1,2,4,1,72
8849958437fffff,2017,0,1,4,1,-1
8849958437fffff,2018,3,3,0,0,44
8849958437fffff,2019,4,0,1,4,12
8849958437fffff,2020,3,3,0,0,-1
8849958437fffff,2021,3,0,1,4,20
8849958437fffff,2022,3,0,1,4,-1
8849958437fffff,2023,3,1,0,0,63
8849958437fffff,2024,3,1,0,4,47
8849958439fffff,2016,0,1,4,1,56
8849958439fffff,2017,0,2,4,1,68
8849958439fffff,2018,2,3,0,0,-1
8849958439fffff,2019,0,2,4,1,70
8849958439fffff,2020,0,2,4,1,70
8849958439fffff,2021,3,0,1,4,22
8849958439fffff,2022,3,0,1,4,18
8849958439fffff,2023,0,2,4,1,70
8849958439fffff,2024,0,2,4,1,-1
884995843bfffff,2016,2,0,1,4,31
884995843bfffff,2017,0,2,4,1,65
884995843bfffff,2018,0,0,1,4,64
884995843bfffff,2019,0,2,4,1,-1
884995843bfffff,2020,0,2,4,1,-1
884995843bfffff,2021,3,0,0,0,-1
884995843bfffff,2022,1,0,1,4,-1
884995843bfffff,2023,3,1,1,4,6
884995843bfffff,2024,0,2,4,1,70
884995843dfffff,2016,4,0,1,4,5
884995843dfffff,2017,0,2,4,1,56
884995843dfffff,2018,3,1,0,0,61
884995843dfffff,2019,0,2,4,1,16
884995843dfffff,2020,3,2,1,4,73
884995843dfffff,2021,0,2,4,1,74
884995843dfffff,2022,3,0,1,4,-1
884995843dfffff,2023,1,0,0,0,-1
884995843dfffff,2024,3,0,0,1,-1
8849958441fffff,2016,0,2,4,1,16
8849958441fffff,2017,4,2,4,1,5
8849958441fffff,2018,3,1,4,1,46
8849958441fffff,2019,0,2,4,1,68
8849958441fffff,2020,0,2,4,1,-1
8849958441fffff,2021,3,1,2,2,-1
8849958441fffff,2022,3,0,1,4,20
8849958441fffff,2023,3,1,1,4,55
8849958441fffff,2024,3,1,1,4,-1
8849958443fffff,2016,0,2,4,1,0
8849958443fffff,2017,0,2,4,1,29
8849958443fffff,2018,3,0,0,4,-1
8849958443fffff,2019,0,2,4,4,-1
8849958443fffff,2020,0,2,4,1,6
8849958443fffff,2021,0,2,4,1,28
8849958443fffff,2022,3,0,0,4,18
8849958443fffff,2023,3,1,0,0,24
8849958443fffff,2024,3,1,0,0,55
8849958445fffff,2016,4,2,4,1,5
8849958445fffff,2017,0,2,4,1,28
8849958445fffff,2018,0,2,4,1,5
8849958445fffff,2019,0,0,1,4,0
8849958445fffff,2020,0,2,4,1,-1
8849958445fffff,2021,3,1,0,0,-1
8849958445fffff,2022,2,0,1,4,26
8849958445fffff,2023,3,1,1,4,17
8849958445fffff,2024,4,0,1,4,5
8849958447fffff,2016,0,2,4,1,68
8849958447fffff,2017,0,2,4,1,16
8849958447fffff,2018,3,1,0,0,61
8849958447fffff,2019,0,2,4,1,62
8849958447fffff,2020,0,2,4,1,28
8849958447fffff,2021,3,0,0,0,23
8849958447fffff,2022,3,0,0,0,43
8849958447fffff,2023,2,0,1,0,32
8849958447fffff,2024,4,0,1,4,19
8849958449fffff,2016,4,0,1,4,5
8849958449fffff,2017,0,2,4,1,16
8849958449fffff,2018,0,2,4,1,-1
8849958449fffff,2019,0,2,1,4,-1
8849958449fffff,2020,0,2,4,1,27
8849958449fffff,2021,4,0,2,2,13
8849958449fffff,2022,3,0,1,4,51
8849958449fffff,2023,0,0,1,4,-1
8849958449fffff,2024,0,2,4,1,50
884995844bfffff,2016,0,2,4,1,28
884995844bfffff,2017,0,2,1,4,-1
884995844bfffff,2018,0,2,1,4,-1
884995844bfffff,2019,0,2,4,1,16
884995844bfffff,2020,0,2,4,1,-1
884995844bfffff,2021,3,0,1,4,47
884995844bfffff,2022,2,3,4,1,47
884995844bfffff,2023,1,3,0,0,30
884995844bfffff,2024,3,0,1,4,47
8849958451fffff,2016,1,2,2,2,-1
8849958451fffff,2017,0,2,4,1,48
8849958451fffff,2018,3,1,0,1,-1
8849958451fffff,2019,0,2,1,4,38
8849958451fffff,2020,1,0,2,4,-1
8849958451fffff,2021,4,0,1,4,17
8849958451fffff,2022,3,3,0,0,43
8849958451fffff,2023,3,3,0,0,44
8849958455fffff,2016,0,1,4,1,47
8849958455fffff,2017,0,2,1,4,0
8849958455fffff,2018,3,0,0,0,-1
8849958455fffff,2019,1,2,0,0,-1
8849958455fffff,2020,0,1,0,1,60
