h3_8,cluster,lag,lisa_I,lisa_p,lisa_q,lisa_sig,year
884995b94bfffff,0,1.8000000000000003,-0.00433021298362646,0.5,2,0,2024
884995b951fffff,2,1.5,-0.029809403796461485,0.29,4,0,2024
884995b953fffff,4,0.9999999999999999,-0.8642905940274797,0.076,4,0,2024
884995b955fffff,0,2.2,-0.3583251243950864,0.204,2,0,2024
884995b957fffff,0,2.0,-0.1813276686893564,0.37,2,0,2024
884995b959fffff,2,1.4999999999999998,-0.02980940379646149,0.282,4,0,2024
884995b95bfffff,1,1.9999999999999998,-0.08031549209409311,0.37,2,0,2024
884995b95dfffff,2,1.3333333333333333,-0.0466447665623387,0.204,4,0,2024
884995b963fffff,0,2.5,-0.6238213079536812,0.18,2,0,2024
884995b96bfffff,1,2.6666666666666665,-0.3416405260718886,0.15,2,0,2024
884995b989fffff,2,1.5,-0.02980940379646149,0.294,4,0,2024
884995b98bfffff,2,0.5,-0.13082158039172478,0.03,4,1,2024
884995b993fffff,0,1.75,0.03991915094280604,0.462,3,0,2024
884995b999fffff,4,0.5,-1.407796409887068,0.026,4,1,2024
884995b99bfffff,2,2.0,0.020696684501170154,0.41,1,0,2024
884995b99dfffff,0,2.0,-0.1813276686893564,0.326,2,0,2024
884995b9c1fffff,4,2.9999999999999996,1.309732669410873,0.018,1,1,2024
884995b9c3fffff,4,1.9999999999999998,0.22272103769169674,0.326,1,0,2024
884995b9c5fffff,3,2.5,0.4187148131750434,0.126,1,0,2024
884995b9c7fffff,0,3.2,-1.2433124029237363,0.01,2,1,2024
884995b9c9fffff,3,2.833333333333333,0.6167187812274499,0.054,1,0,2024
884995b9cbfffff,4,2.6666666666666665,0.9473954588378142,0.084,1,0,2024
884995b9cdfffff,4,2.5,0.766226853551285,0.1,1,0,2024
884995b9d3fffff,0,2.6666666666666665,-0.7713191877084562,0.152,2,0,2024
884995b9d5fffff,0,2.0,-0.1813276686893564,0.36,2,0,2024
884995b9d7fffff,0,1.2000000000000002,0.5266621541335634,0.17,3,0,2024
884995b9d9fffff,1,2.8000000000000003,-0.39390553286744767,0.052,2,0,2024
884995b9dbfffff,4,1.75,-0.04903187023809734,0.482,4,0,2024
884995b9ddfffff,2,1.8,0.0004942491821174995,0.492,1,0,2024
884995b9e1fffff,1,1.0,0.31167205887260013,0.068,3,0,2024
884995b9e3fffff,0,2.333333333333333,-0.47632342819890633,0.274,2,0,2024
884995b9e5fffff,0,1.8,-0.00433021298362646,0.488,2,0,2024
884995b9e7fffff,3,0.3333333333333333,-0.8683109791655996,0.032,4,1,2024
884995b9e9fffff,0,2.1666666666666665,-0.3288255484441314,0.222,2,0,2024
884995b9ebfffff,3,0.8,-0.5911054238922304,0.046,4,1,2024
884995b9edfffff,0,1.5,0.26116597057496843,0.366,3,0,2024
884995ba01fffff,2,2.5,0.0712027727988018,0.13,1,0,2024
884995ba03fffff,3,2.6666666666666665,0.5177167972012467,0.056,1,0,2024
884995ba05fffff,0,3.1666666666666665,-1.213812826972781,0.01,2,1,2024
884995ba07fffff,4,1.5,-0.32078477816789147,0.286,4,0,2024
884995ba09fffff,2,2.4999999999999996,0.0712027727988018,0.136,1,0,2024
884995ba0bfffff,4,2.9999999999999996,1.309732669410873,0.02,1,1,2024
884995ba0dfffff,2,1.8333333333333333,0.0038613217352929433,0.466,1,0,2024
